Algoritma,Hesaplama_Suresi_ms,Ziyaret_Edilen_Dugum,Yol_Uzunlugu_m
Dijkstra,80.8879,7197,10.0983
Dijkstra,79.5145,7125,9.9983
Dijkstra,80.1299,7062,9.8569
Dijkstra,82.7744,6978,9.6569
Dijkstra,83.0468,6962,9.5569
Dijkstra,77.0230,6940,9.4569
Dijkstra,79.7856,6838,9.3569
Dijkstra,75.7637,6734,9.2983
Dijkstra,76.7363,6792,9.1983
Dijkstra,75.1241,6690,9.0983
Dijkstra,73.9685,6772,8.9569
Dijkstra,60.4399,5461,8.8569
Dijkstra,59.8973,5322,8.7154
Dijkstra,59.0239,5287,8.6154
Dijkstra,61.4110,5195,8.4740
Dijkstra,58.5031,5206,8.3740
Dijkstra,58.1821,5211,8.2740
Dijkstra,62.4797,5225,8.1326
Dijkstra,60.6728,5086,8.0326
Dijkstra,55.8052,5086,7.8912
Dijkstra,59.2932,5297,8.0740
Dijkstra,68.0963,5710,8.2154
Dijkstra,66.4261,5834,8.4284
Dijkstra,68.2696,5849,8.3456
Dijkstra,66.3506,5896,8.3042
Dijkstra,69.8554,6210,8.3627
Dijkstra,75.7708,6617,8.5456
Dijkstra,79.8668,7023,8.6870
Dijkstra,85.5357,7498,8.8698
Dijkstra,91.8381,7827,8.8698
Dijkstra,95.2003,8239,8.9527
Dijkstra,97.6666,8696,9.0941
Dijkstra,104.3003,9355,9.3770
Dijkstra,115.1160,9869,9.5184
Dijkstra,123.7212,10810,9.6184
Dijkstra,123.4336,10802,9.7698
Dijkstra,125.3629,10994,9.7113
Dijkstra,94.9909,8450,10.2598
Dijkstra,94.3852,8453,10.1770
Dijkstra,97.1875,8337,10.0770
Dijkstra,90.6110,7978,9.9355
Dijkstra,92.1951,7870,9.7355
Dijkstra,88.5027,7859,9.6355
Dijkstra,87.4489,7768,9.5355
Dijkstra,96.4162,7674,9.4355
Dijkstra,83.9181,7490,9.3355
Dijkstra,82.0415,7361,8.8770
Dijkstra,81.9399,7325,8.8770
Dijkstra,86.3761,7374,8.6770
Dijkstra,83.1199,7344,8.6770
Dijkstra,81.1201,7137,8.5355
Dijkstra,81.9496,7041,8.3941
Dijkstra,75.2109,6709,8.2527
Dijkstra,70.4460,6089,8.1113
Dijkstra,66.5385,6087,7.9698
Dijkstra,66.9648,5953,7.9698
Dijkstra,70.9016,5824,7.8284
Dijkstra,63.9477,5760,7.6870
Dijkstra,66.4969,5579,7.5456
Dijkstra,61.7716,5472,7.5456
Dijkstra,60.8621,5369,7.4042
Dijkstra,61.6286,5355,7.2627
Dijkstra,59.5346,5323,7.1213
Dijkstra,60.0062,5197,7.1213
Dijkstra,63.8639,5076,6.9799
Dijkstra,60.9851,4873,6.8385
Dijkstra,58.4069,4793,6.8971
Dijkstra,52.4547,4658,6.8142
Dijkstra,49.1226,4451,6.6728
Dijkstra,48.7210,4258,6.5314
Dijkstra,45.4705,4026,6.4314
Dijkstra,43.3867,3903,6.3899
Dijkstra,40.5140,3644,6.1899
Dijkstra,37.9152,3364,6.0485
Dijkstra,35.9570,3212,6.0071
Dijkstra,35.3977,2919,5.9071
Dijkstra,29.9473,2672,5.7657
Dijkstra,26.6779,2433,5.5657
Dijkstra,26.2666,2358,5.4657
Dijkstra,26.1853,2286,5.3657
Dijkstra,24.1825,2186,5.2657
Dijkstra,23.3822,2093,5.1657
Dijkstra,24.8804,1985,4.8485
Dijkstra,22.5751,1966,4.8485
Dijkstra,21.1967,1889,4.7485
Dijkstra,21.2682,1854,4.6485
Dijkstra,18.5938,1719,4.4071
Dijkstra,18.1998,1574,4.3071
Dijkstra,17.0085,1493,4.1657
Dijkstra,17.2196,1414,4.0657
